source_id,RA_deg,ra_error,Dec_deg,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,l,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_gspphot,phot_bp_rp_excess_factor,duplicated_source
1433143832631935104,260.41897502409006,0.086868286,57.79767059449525,0.08676265,2.428345765743022,0.093107216,-16.75221273057862,0.107184924,3.71246601700952,0.12322808,,,86.2114939024133,34.53336589527141,17.94314,19.57395,16.729725,2.844225,0.9668896,630.782,1.4484868,False
1433143897055358464,260.35264729996715,0.0399786,57.78414896236809,0.04060297,0.8337312826739643,0.041823838,-6.840319948372744,0.047727313,-8.069034623725898,0.062101394,,,86.19743605756567,34.569402524563,16.70591,17.208622,16.052872,1.1557503,0.93232405,1043.7825,1.224557,False
1433144004430748160,260.3837317036118,0.023895575,57.79071594881239,0.02250157,0.47909041505656885,0.024467608,5.042311668699627,0.029686056,-4.839920297478262,0.031175893,,,86.20429927531426,34.55249862217289,15.568546,15.866388,15.110125,0.75626373,0.9871998,1463.0884,1.1932973,False
1433144210589165696,260.2057012974253,0.044700135,57.75532089174863,0.044667173,2.0301239414466723,0.04714907,-6.087988879068666,0.05463171,-8.868529598832387,0.06405811,,,86.16777368660071,34.64925770633795,16.93812,17.922497,15.9536915,1.9688053,1.0083498,451.0636,1.3351765,False
1433144275012468736,260.2565284715191,0.23816206,57.76423564615719,0.23990734,1.2926409238458905,0.25806767,-20.8458892248986,0.28663763,26.49557604927233,0.3446062,,,86.17673383486449,34.62168355598404,19.602293,20.86381,18.447002,2.4168072,1.0620174,,1.4468265,False
1433144279308774784,260.259964024548,0.04361042,57.77534047001646,0.04281833,0.24511962474961596,0.0455994,-3.0608434607700157,0.053188946,-3.7538416886934374,0.060121965,,,86.19008194431596,34.61923147887209,16.879229,17.2756,16.317236,0.9583645,0.96742034,1608.6848,1.2097415,False
1433144279308774912,260.2588821582396,0.013968298,57.76905062131136,0.014034488,0.7861029970000696,0.014597364,-1.369520868426034,0.017302979,-8.70855531574361,0.019826835,-12.29776,7.662585,86.18249016244943,34.620160288999685,14.433185,14.716595,13.98663,0.72996426,1.0353132,,1.1936935,False
1433144313668872960,260.27799489507,0.042618852,57.77040554237951,0.041955397,1.1355401231183528,0.044429593,-5.868525388070283,0.052951526,5.205353958945672,0.058721572,,,86.18344131900854,34.60990720390199,16.752422,17.590067,15.860486,1.7295809,1.0101395,897.8966,1.2924459,False
1433144348028123648,260.2408056342321,0.023617532,57.77614045235037,0.023397522,0.1682971991676871,0.024395308,-0.28949982178415834,0.029836075,-5.545524819411066,0.034105934,,,86.19175106965649,34.62938619917199,15.672113,16.104599,15.073588,1.0310106,0.9792838,4810.4756,1.2174417,False
1433144588546419840,260.2911747409683,0.08954493,57.806926199541564,0.08995409,0.5212725346769149,0.09308392,-1.6237472683627765,0.10437892,-1.9433080853080136,0.12499989,,,86.22726532363292,34.60085111016732,18.098913,18.609474,17.49803,1.1114445,0.9704805,1931.8453,1.1852437,False
1433144618609873024,260.2454478554493,0.051259477,57.799852765734464,0.0538778,1.4608670987004397,0.057470687,1.8569611326171267,0.06350658,-19.15122135489142,0.07706356,,,86.22035183637476,34.625575333930385,17.11542,18.1048,16.126762,1.9780369,1.0119085,,1.3378972,False
1433144829063456128,260.38125235006584,0.29461798,57.816086667106006,0.31882167,2.5974445297344526,0.33073357,-4.472784264459527,0.36300322,-11.044761509534634,0.43685776,,,86.2351452944091,34.55243241559015,19.85681,21.20517,18.626661,2.5785084,1.0625017,,1.5164578,False
1433144893487811200,260.3596598249554,0.1923032,57.82974533038989,0.17468624,1.597563082957044,0.19442749,9.148235458847635,0.23408334,2.2888424820119275,0.256501,,,86.25247337530672,34.56316236336179,19.057104,20.12174,17.981493,2.1402473,1.0560157,,1.40562,False
1433144996567024384,260.3514649581444,0.22113036,57.82833781424769,0.21689717,1.6680306633685948,0.23383449,-4.448551944782476,0.26348656,20.497907870427333,0.31404588,,,86.25105986364248,34.56759687581448,19.479603,21.100595,18.301489,2.7991066,1.0065492,,1.4087834,False
1433145035222900992,260.3007727121057,0.0108981,57.82584037934826,0.010233155,0.24841331609007894,0.011201085,-3.157065642975934,0.012704333,-7.80423771866154,0.01405054,-107.21494,0.47380745,86.24985856315179,34.59468652682536,12.238869,12.909923,11.451674,1.4582481,1.1708568,,1.260023,False
1433145103942384384,260.357361485593,0.016297268,57.838980078906296,0.014430915,0.9483268218150993,0.015778722,-0.39300020030343263,0.021647666,1.6929443984625525,0.020965036,-25.568779,4.926153,86.26375246566685,34.56387304283603,14.464841,14.808729,13.955684,0.85304546,0.9746868,1038.2783,1.2011234,False
1433145271444915840,260.4820632059063,0.12484991,57.807826795026216,0.11775264,1.1229033592596638,0.1324459,-4.969018740827931,0.15007184,-4.7555613952373905,0.15768039,,,86.22161678839458,34.49925448202328,18.471516,19.75489,17.361536,2.3933544,1.0348462,655.5032,1.3924409,False
1433145443243628416,260.4885121344659,0.08605321,57.81859428403583,0.07738022,0.7119734568739708,0.0915211,0.6066228257191761,0.092135794,-5.640549601753582,0.10425357,,,86.23444160359321,34.49525162955803,17.751215,18.366903,16.972935,1.3939686,1.0301723,1183.2291,1.2733661,False
1433145447539640192,260.5013828939665,0.15878063,57.82297780066509,0.165404,2.5155196746587247,0.18180785,-0.43599140796640024,0.18076652,15.62481721921535,0.2286638,,,86.23931083726663,34.48817391185828,18.807888,20.024658,17.616972,2.4076862,1.0247533,642.5541,1.4970641,False
1433145447540215424,260.4929609017814,0.009291469,57.82293108875944,0.008998184,2.3141772834139718,0.00991476,1.29902467122086,0.010694517,26.390370070430517,0.012300124,,,86.23954321823336,34.49265508806398,10.650983,11.191295,9.968408,1.222887,0.8566974,425.1675,1.2302041,False
1433145481899379712,260.5353299522337,0.026968678,57.83826133368101,0.025894878,1.0979463718326075,0.028270114,1.8672890506462618,0.030255008,-10.547217686817977,0.03277519,,,86.25666593101914,34.46931681612038,15.654919,16.092041,15.052517,1.0395241,0.9391723,853.2753,1.2179801,False
