times,F_nu
2748.82,0.00704975445601077
2753.82,0.007078283177545506
2758.83,0.007101583052435481
2763.84,0.007122665966100975
2768.85,0.0071401021327731915
2773.85,0.007152251809930833
2778.86,0.007158653959584868
2783.87,0.00700930981549153
2788.87,0.006994348978475964
2793.88,0.007024308114457926
2798.89,0.007084169176655012
2803.89,0.007144043776570463
2808.9,0.007203665365735221
2813.91,0.007262205860145329
2818.92,0.007317883068713054
2823.92,0.007370685907277012
2828.93,0.007420971158458733
2833.94,0.007467976488135911
2838.94,0.007511810619132754
2843.95,0.007552152749620352
2848.96,0.007589611907794729
2853.96,0.007623231444378767
2858.97,0.0076540671661573245
2863.98,0.007682299314831678
2868.98,0.007707966144649667
2873.99,0.00773269804850738
2879.0,0.00775648401763112
2884.01,0.007774828380219071
2889.01,0.007794080685503923
2894.02,0.007826151542831498
2899.03,0.007846921677229276
2904.03,0.0078679050494851
2909.04,0.007888059318135078
2914.05,0.007907907143577139
2919.05,0.007928000020926472
2924.06,0.007946936715535586
2929.07,0.007965676046357166
2934.08,0.007983636091405505
2939.08,0.008001306945035098
2944.09,0.008019588919462724
2949.1,0.008038132209809796
2954.1,0.008044995346684083
2959.11,0.008066278816197061
2964.12,0.008083723764258774
2969.12,0.008100095283524986
2974.13,0.008116309279506462
2979.14,0.008133406985073963
2984.14,0.008147876737639127
2989.15,0.008161827114122428
2994.16,0.008176253970248277
2999.17,0.008189773960551972
3004.17,0.008204268030974455
3009.18,0.008217265353373979
3014.19,0.008230240007236446
3019.19,0.008242682723315563
3024.2,0.00825364955484754
3029.21,0.008263568720509748
3034.21,0.008271621293359748
3039.22,0.008277576992607304
3044.23,0.008282813963470663
3049.24,0.008286876991183018
3054.24,0.008286269827572442
3059.25,0.008283248631388076
3064.26,0.008277206636572934
3069.26,0.008266031016880282
3074.27,0.008270940418821964
3079.28,0.008323963815882265
3084.28,0.008328151560635058
3089.29,0.00833289975351842
3094.3,0.008340296492973963
3099.3,0.008349651025870857
3104.31,0.008411051520151062
3109.32,0.008419102502242919
3114.33,0.008426450783433206
3119.33,0.008434351931456934
3124.34,0.008343336780945313
3129.35,0.00837246313183299
3134.35,0.008397828901691438
3139.36,0.008419880480557184
3144.37,0.008438321488326033
3149.37,0.00845380169174799
3154.38,0.0084648211686001
3159.39,0.008475693701274753
3164.39,0.008484492419437089
3169.4,0.008491590887482088
3174.41,0.008497293714527626
3179.42,0.008502249066036452
3184.42,0.008506843919921465
3189.43,0.00851259660022329
3194.44,0.008518999594929771
3199.44,0.00851957125802628
3204.45,0.008525487753241343
3209.46,0.008526199039089424
3214.46,0.008532801873064006
3219.47,0.008537077012347368
3224.48,0.008540143551246843
3229.49,0.008541376701540324
3234.49,0.008542052387236066
3239.5,0.008542297901777926
3244.51,0.008544411147018968
3249.51,0.008543478883101129
3254.52,0.008542531038501496
3259.53,0.008540941191222203
3264.53,0.00853699219956853
3269.54,0.008531308823572937
3274.55,0.008524750481955947
3279.55,0.008517632499463147
3284.56,0.008520303412543517
3289.57,0.008511249012765279
3294.58,0.00849921122228058
3299.58,0.008484833732935954
3304.59,0.008466189218150753
3309.6,0.008444843126523072
3314.6,0.008509768026039293
3319.61,0.008505648503689029
3324.62,0.008502931419534532
3329.62,0.00849913592073287
3334.63,0.008497004525713794
3339.64,0.008496668095712114
3344.65,0.008429581775662163
3349.65,0.008408985078972305
3354.66,0.008433306159023933
3359.67,0.008453388701244095
3364.67,0.008471013567073717
3369.68,0.008483704010316822
3374.69,0.008493837105216466
3379.69,0.008499139496396661
3384.7,0.008499665454703058
3389.71,0.008514889217740768
3394.71,0.008515896856426345
3399.72,0.008517227786470523
3404.73,0.008515429470613472
3409.74,0.008513999422295764
3414.74,0.008512584232423896
3419.75,0.008510246272058063
3424.76,0.008506517906589104
3429.76,0.008502642856737288
3434.77,0.008500993887269956
3439.78,0.00849803395948795
3444.78,0.008495138682098396
3449.79,0.008491005370384778
3454.8,0.00848671263646309
3459.81,0.00848270684758425
3464.81,0.008478785938348945
3469.82,0.008475437052392079
3474.83,0.008472673678150798
3479.83,0.008467420846293823
3484.84,0.008463564625725959
3489.85,0.00845827132061992
3494.85,0.00845393570610047
3499.86,0.008449800070322646
3504.87,0.008444392943764138
3509.87,0.00843727450364621
3514.88,0.008430521879830349
3519.89,0.008423326852730331
3524.9,0.008411652068947204
3529.9,0.008397026416829791
3534.91,0.008379538118906793
3539.92,0.008357535575058457
3544.92,0.008334856377803714
3549.93,0.00835082775841007
3554.94,0.008337145053820732
3559.94,0.008325735963703054
3564.95,0.00831535123356554
3569.96,0.008306897419723984
3574.97,0.008346724806206062
3579.97,0.008343841879270624
3584.98,0.008257543214912294
3589.99,0.008270916163642061
3594.99,0.008231412107544
3600.0,0.008251390089378544
