source_id,RA_deg,RA_error,Dec_deg,Dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,l,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_gspphot,phot_bp_rp_excess_factor
1.43E+18,259.7065203,0.015581414,58.38857455,0.019031398,0.697047897,0.01726417,0.233903027,0.02124914,-8.300598625,0.024343513,-69.45304,6.959944,86.9576496,34.87198707,14.572665,14.87164,14.106876,0.76476383,1.0165021,1757.8575,1.1970943
1.43E+18,259.9128991,0.010896781,57.7771834,0.01043999,0.421256656,0.010982979,-6.004137456,0.013119346,0.538277805,0.014191253,10.902451,1.672421,86.20554652,34.80386768,13.449871,13.903247,12.827901,1.075346,1.0166115,2274.9243,1.224109
1.43E+18,260.120767,0.010470904,57.79608744,0.01026134,2.019383008,0.010631202,1.342591069,0.012452845,17.25704599,0.014423769,-26.169952,2.5729485,86.22043044,34.6921251,13.448379,13.791854,12.943212,0.84864235,1.018816,486.2172,1.1988561
1.43E+18,260.4432945,0.011024205,58.39010081,0.01035423,0.785290041,0.011402715,7.954185552,0.015299045,-6.448332929,0.014884069,5.2031894,1.6961546,86.92836252,34.48656167,13.4529085,13.953171,12.801582,1.1515884,1.0204649,,1.2243785
1.43E+18,259.6714487,0.01741606,57.66194613,0.017386613,0.724733571,0.018280972,6.234643358,0.021801738,4.640639392,0.023760082,-101.87394,4.229819,86.07518792,34.93976925,14.603546,15.067043,13.97801,1.0890331,1.0212119,1600.0234,1.222132
1.43E+18,259.4457563,0.012825565,58.20746692,0.013760655,1.906166969,0.013945422,5.175794176,0.016620412,-29.19438871,0.01731499,-10.095975,4.430583,86.74946044,35.02184181,14.299097,14.721284,13.712819,1.0084648,1.0212781,519.3331,1.2138901
1.43E+18,259.4820654,0.009241088,58.01356961,0.009899879,1.49546433,0.010325527,-3.465678566,0.011740186,9.664488394,0.012505244,-10.9462595,1.7085806,86.51162624,35.01671897,13.238302,13.568728,12.748602,0.82012653,1.0230366,654.5485,1.1957654
1.43E+18,259.8659104,0.010278169,57.84742864,0.009953414,1.619811721,0.010271103,-7.148650122,0.012992106,-18.25256764,0.012680785,-12.821419,1.8934437,86.29283606,34.8244831,13.252722,13.547387,12.799263,0.7481241,1.0242096,607.0958,1.1919839
1.43E+18,259.9528906,0.011781916,57.61051572,0.010669249,2.517437736,0.011648709,15.82331533,0.015101098,-51.19514833,0.014615486,-20.211859,1.9149121,86.00138505,34.79254569,13.70298,14.175942,13.075744,1.1001987,1.0283922,393.468,1.2191982
1.43E+18,260.6686217,0.013183072,57.61741603,0.01364906,0.72346182,0.013374184,-1.877676168,0.018265381,-12.12610678,0.01715116,-57.182255,3.5879488,85.98487731,34.40936565,14.237671,14.5769615,13.734002,0.8429594,1.0286107,1321.607,1.1999738
